date,air_temp,shortwave_rad,precip,vpd,gpp
2000-09-03,11.75,141.75,0.8125,0.20054123087882947,5.253123
2000-09-04,11.3125,107.1875,2.875,0.11957275457730776,4.3614984
2000-09-05,11.9375,138.0625,0.0625,0.2387615424957341,7.405172
2000-09-06,12.25,54.8125,11.5,0.0827223152099199,4.3160014
2000-09-07,12.25,105.875,0.1875,0.209029506175604,5.807874
2000-09-08,15.1875,76.0625,0.0,0.24327425094962307,6.110274
2000-09-09,16.6875,101.875,0.0,0.251134477700649,5.388411
2000-09-10,17.25,184.0,0.1875,0.3289843892946498,8.201377
2000-09-11,18.625,201.625,0.0,0.4363086011761881,6.9213467
2000-09-12,19.1875,142.9375,0.125,0.33545450112500497,6.81905
2000-09-13,15.0,101.125,0.0625,0.20207355285704254,4.26767
2000-09-14,14.4375,54.125,0.25,0.1620584843677353,3.05554
2000-09-15,16.0625,117.6875,0.8125,0.20263889970438087,4.5107894
2000-09-16,11.9375,22.25,48.0,0.03921266208871543,-0.27450016
2000-09-17,12.4375,31.0,11.875,0.026114565449459226,0.19732629
2000-09-18,13.3125,110.875,0.0625,0.17639930029092343,4.9451265
2000-09-19,15.125,164.8125,2.375,0.2691028688078452,6.041441
2000-09-20,13.0,78.1875,9.9375,0.11117830044164068,1.5807849
2000-09-21,12.0625,125.875,0.25,0.21876918620196095,5.4879436
2000-09-22,13.9375,91.0625,0.0625,0.2274050814796149,4.8984566
2000-09-23,12.6875,127.5625,0.0,0.20046727926147545,6.412262
2000-09-24,14.0625,169.0625,0.1875,0.2883200156276662,5.709515
2000-09-25,14.5,145.5,0.8125,0.3048307767587488,5.2029634
2000-09-26,15.75,135.125,0.0,0.30241756224326166,5.7039924
2000-09-27,15.125,85.6875,1.375,0.18654939909388446,3.8323658
2000-09-28,15.0,51.0625,5.375,0.1297524918345221,3.2445781
2000-09-29,16.75,142.125,0.5,0.36749476481134113,5.6495566
2000-09-30,13.5,52.875,12.1875,0.10327846990865908,1.751217
2000-10-01,12.0,70.75,25.3125,0.08749852788461454,2.6517394
2000-10-02,10.75,70.125,2.875,0.06686102098126234,3.4123087
2000-10-03,11.25,75.5,0.1875,0.15821701741696237,3.910965
2000-10-04,11.125,60.5,0.5625,0.1362660534249991,4.000547
2000-10-05,11.125,27.6875,1.0625,0.11066455247848417,3.5833805
2000-10-06,6.75,93.5,0.4375,0.07685853931241238,2.2596247
2000-10-07,5.875,109.0,0.0,0.12562533721525537,3.6227496
2000-10-08,7.9375,15.625,7.6875,0.05334448092131172,1.864123
2000-10-09,8.6875,96.75,5.25,0.14662810239135082,3.248022
2000-10-10,6.9375,65.6875,10.6875,0.059791056164356315,2.447376
2000-10-11,8.75,78.125,13.9375,0.14020301604033447,3.072811
2000-10-12,10.0,85.3125,0.125,0.21991916811675405,3.460549
2000-10-13,9.75,52.1875,0.0625,0.12810426160272348,2.9160223
2000-10-14,8.875,104.4375,0.0625,0.08597132606421964,4.3730226
2000-10-15,10.8125,64.75,0.25,0.04610769956625371,4.929919
2000-10-16,11.4375,64.0625,2.625,0.10876182065271522,1.7841101
2000-10-17,8.625,96.8125,1.3125,0.13832537495635855,3.5242279
2000-10-18,8.1875,41.4375,1.875,0.11394114160836899,2.2542334
2000-10-19,9.875,40.375,11.375,0.04863284662239775,1.1765071
2000-10-20,10.9375,67.4375,0.125,0.08238054961012486,2.090671
2000-10-21,12.9375,88.75,0.5,0.1963281254025846,3.8011587
2000-10-22,13.4375,107.125,0.0,0.26628069686467915,4.0987034
2000-10-23,12.4375,79.25,1.375,0.1539858859261214,2.7350695
2000-10-24,10.0625,50.25,0.375,0.15928171506595779,1.2383376
2000-10-25,10.125,32.6875,1.9375,0.09195091054897486,1.0787072
2000-10-26,8.875,70.0,0.9375,0.17265315895541633,0.96656394
2000-10-27,8.6875,13.875,2.6875,0.08488995401604527,1.2283274
2000-10-28,10.375,28.6875,0.875,0.09664051189682321,1.4791802
2000-10-29,8.375,58.125,1.5,0.13669215075184427,1.0241252
2000-10-30,8.5,23.0,10.875,0.16140661472787277,1.3931308
2000-10-31,6.875,49.25,2.6875,0.088062965742714,0.3025815
2000-11-01,6.25,23.625,11.875,0.0659441647510145,0.6973333
2000-11-02,7.5625,53.4375,5.8125,0.10790022698781143,1.7933027
2000-11-03,6.3125,35.0625,3.125,0.06742193300278276,1.7213001
2000-11-04,4.75,34.4375,1.5,0.04390557973956466,1.6156789
2000-11-05,4.625,49.1875,0.1875,0.1088109878520408,2.1010716
2000-11-06,7.25,34.375,14.8125,0.16034364356227826,1.5435818
2000-11-07,6.4375,35.0,7.75,0.07462431517181944,1.223016
2000-11-08,5.9375,24.625,9.1875,0.06860796083053733,0.44977203
2000-11-09,5.625,30.0,2.3125,0.05689945345452119,1.9388901
2000-11-10,3.5625,58.0,0.0,0.09114784527847974,1.8998128
2000-11-11,4.8125,36.875,0.0,0.11293205013267449,1.8447398
2000-11-12,7.6875,37.875,10.125,0.14946788155180502,1.8871444
2000-11-13,7.3125,31.625,5.0625,0.08690496272879167,1.2707251
2000-11-14,5.6875,36.5,1.625,0.08171897299954656,1.9739319
2000-11-15,5.0625,38.8125,5.5625,0.05800460432842591,0.9064521
2000-11-16,5.125,36.75,0.6875,0.09013381307510537,0.9437341
2000-11-17,3.5625,34.625,0.8125,0.055181398222647116,0.8852198
2000-11-18,3.9375,33.5,0.75,0.06778394611671723,1.1960329
2000-11-19,5.5,7.125,2.375,0.043998951593834046,0.78317636
2000-11-20,3.625,34.1875,4.625,0.07373458802741706,0.8982027
2000-11-21,3.625,17.4375,6.5,0.04800171166885547,0.7698849
2000-11-22,6.4375,19.875,9.875,0.072818888191856,1.0853416
2000-11-23,7.8125,10.8125,11.0625,0.05950461074290703,0.1678255
2000-11-24,4.9375,29.625,0.4375,0.07594640144750753,-0.14262067
2000-11-25,4.1875,29.4375,2.625,0.07927843441308124,-0.51220584
2000-11-26,5.1875,34.5625,8.75,0.06789461814678288,0.41319188
2000-11-27,4.875,25.0625,0.75,0.07777705769991716,0.7885072
2000-11-28,9.75,26.25,5.5625,0.06555923976139377,1.2445626
2000-11-29,10.0,51.3125,0.0,0.13869466700046162,1.9748853
2000-11-30,10.125,35.6875,0.0,0.10817754182232364,1.3846041
2000-12-01,10.1875,37.75,6.3125,0.16372090181931176,1.8233584
2000-12-02,10.0,28.6875,0.375,0.1042125674699601,1.1382083
2000-12-03,6.875,32.375,1.375,0.08868312747329654,0.67215794
2000-12-04,5.375,30.25,1.75,0.09003460201799907,0.67653584
2000-12-05,8.0,48.5625,0.0,0.19955384086713834,1.6114527
2000-12-06,8.8125,6.6875,3.75,0.07499677482136735,0.35098222
2000-12-07,8.8125,19.125,2.875,0.07711932505216068,0.5599599
2000-12-08,10.3125,42.875,2.125,0.21516760448602001,1.0354102
2000-12-09,7.625,31.9375,0.5,0.1449162497951506,0.54322404
2000-12-10,7.375,9.875,12.5,0.10845408396037903,0.1493783
2000-12-11,9.4375,47.0625,4.5,0.14168128618029407,1.9583696
2000-12-12,10.5625,10.75,6.9375,0.17343430761678014,0.52249956
2000-12-13,8.5,32.9375,7.25,0.18149585003735047,1.4864511
2000-12-14,5.875,8.25,19.6875,0.05152375581639501,0.4663683
2000-12-15,2.5625,15.6875,7.25,0.044988714490759474,-0.1129178
2000-12-16,0.5,35.75,0.0625,0.06535106129692458,-0.24631627
2000-12-17,0.25,35.3125,2.0625,0.06495918531022238,0.49116364
2000-12-18,0.9375,9.0,5.6875,0.018802513751977834,-0.047546208
2000-12-19,4.25,9.1875,2.6875,0.012409270613949253,0.9957488
2000-12-20,0.3125,34.25,0.0,0.05353124285274358,1.2748228
2000-12-21,-1.5625,43.0625,0.0,0.12577417979036892,0.56082827
2000-12-22,-2.5625,49.8125,0.0,0.15641404666094094,-0.4568154
2000-12-23,0.4375,46.625,0.0,0.15968498546005183,0.963991
2000-12-24,2.0,26.875,0.5,0.13761154656545316,1.1628412
2000-12-25,0.8125,7.0,0.375,0.01863415370537791,0.2779376
2000-12-26,0.0625,9.3125,5.9375,0.008825877554948458,0.6892574
2000-12-27,2.3125,11.625,10.25,0.008568755107770665,0.40310147
2000-12-28,-0.375,30.8125,0.3125,0.04163512986356599,0.54847145
2000-12-29,-0.875,36.625,0.25,0.040862776292946656,1.264011
2000-12-30,-1.4375,15.5625,0.125,0.025455419530022838,0.4106934
2000-12-31,-0.8125,28.4375,3.1875,0.03888908318612749,1.23817
2001-01-01,1.75,12.6875,15.1875,0.07365468306762568,-0.15861271
2001-01-02,7.125,36.5,5.0,0.11040215557186384,0.774662
2001-01-03,4.8125,30.9375,10.75,0.0871190101023489,0.7559623
2001-01-04,5.5625,8.375,6.375,0.08328095898787935,0.27682734
2001-01-05,7.125,4.8125,29.375,0.050469556832852036,0.30652085
2001-01-06,5.5625,21.75,10.6875,0.05608717646122485,0.19114494
2001-01-07,3.375,28.25,0.5625,0.034522026332054256,0.54466516
2001-01-08,1.875,33.4375,0.25,0.04109184990559844,0.686114
2001-01-09,2.375,28.875,1.1875,0.046658542899017275,0.13533811
2001-01-10,2.375,14.9375,4.6875,0.05345347633091302,0.5177818
2001-01-11,3.3125,11.875,1.6875,0.02323619321605319,0.8485889
2001-01-12,-0.3125,55.25,0.0,0.13667710325222426,1.5617313
2001-01-13,-1.4375,58.25,0.0,0.19538754450071621,1.2279123
2001-01-14,-1.25,58.5,0.0,0.2102970830990833,0.8227233
2001-01-15,-2.5625,60.75,0.0,0.19694238263786484,0.6696337
2001-01-16,-4.0,60.375,0.0,0.11322420044263465,0.47146115
2001-01-17,-3.125,52.6875,0.0,0.0692400252800171,0.20865448
2001-01-18,0.375,31.9375,0.3125,0.039250790982099715,0.7009337
2001-01-19,0.25,38.75,0.25,0.050178053323465144,0.29153994
2001-01-20,-0.375,39.5625,0.3125,0.04869823225113523,0.35207656
2001-01-21,-2.0625,36.9375,0.4375,0.044353095737122705,-0.7377866
2001-01-22,4.3125,22.1875,11.3125,0.03687169237854582,1.2907872
2001-01-23,6.375,27.5,10.9375,0.07310566187839229,1.1660931
2001-01-24,7.3125,24.125,18.6875,0.11629928835764758,0.45489708
2001-01-25,4.5,19.75,5.3125,0.04051527790870724,0.46905306
2001-01-26,3.5,45.875,6.5625,0.06965491114711098,0.8259282
2001-01-27,2.0,34.4375,10.25,0.05248645526054141,0.19947112
2001-01-28,0.125,47.625,0.375,0.03392176354686083,0.42484567
2001-01-29,1.0,36.375,1.25,0.02422488452741489,0.6630581
2001-01-30,0.0625,53.0625,0.125,0.0510365962960061,0.98672813
2001-01-31,-0.625,47.8125,0.0,0.07665842794172761,1.5476068
